time,temp(D16),pH(A0),sensor(V)
00:03:18,28.1875,-109.91327,2.191265
00:03:20,28.1875,-109.86636,2.1906206
00:03:21,28.1875,-109.842932,2.1902986
00:03:23,28.1875,-109.8136,2.1898956
00:03:24,28.1875,-109.854648,2.1904596
00:03:26,28.1875,-109.83704,2.1902178
00:03:27,28.25,-109.81946,2.1899762
00:03:29,28.1875,-109.81946,2.1899762
00:03:30,28.3125,-109.76082,2.1891704
00:03:31,28.25,-109.77843,2.1894124
00:03:33,28.3125,-109.8136,2.1898956
00:03:34,28.25,-109.790144,2.1895732
00:03:36,28.3125,-109.743224,2.1889286
00:03:37,28.25,-109.702192,2.188365
00:03:39,28.25,-109.76082,2.1891704
00:03:40,28.3125,-109.7491,2.1890094
00:03:42,28.3125,-109.71391,2.188526
00:03:43,28.3125,-109.6846,2.1881232
00:03:45,28.3125,-109.72565,2.188687
00:03:46,28.3125,-109.737368,2.1888482
00:03:48,28.3125,-109.6846,2.1881232
00:03:49,28.3125,-109.66702,2.1878816
00:03:51,28.3125,-109.67287,2.187962
00:03:52,28.3125,-109.702192,2.188365
00:03:54,28.3125,-109.67285,2.1879618
00:03:55,28.3125,-109.584916,2.1867536
00:03:57,28.3125,-109.65527,2.1877204
00:03:58,28.3125,-109.643552,2.1875592
00:03:59,28.3125,-109.64943,2.18764
00:04:01,28.375,-109.62598,2.1873176
00:04:02,28.3125,-109.59665,2.1869148
00:04:04,28.3125,-109.584916,2.1867536
00:04:05,28.3125,-109.54974,2.1862702
00:04:07,28.3125,-109.5732,2.1865926
00:04:09,28.375,-109.596664,2.186915
00:04:11,28.375,-109.5732,2.1865926
00:04:12,28.375,-109.50282,2.1856256
00:04:14,28.375,-109.52629,2.185948
00:04:15,28.375,-109.50282,2.1856256
00:04:17,28.375,-109.52629,2.185948
00:04:18,28.375,-109.52042,2.1858672
00:04:20,28.375,-109.49696,2.185545
00:04:21,28.375,-109.45006,2.1849006
00:04:23,28.375,-109.50868,2.1857062
00:04:24,28.375,-109.4559,2.1849808
00:04:26,28.375,-109.473496,2.1852226
00:04:27,28.375,-109.44417,2.1848196
00:04:29,28.375,-109.52042,2.1858672
00:04:30,28.375,-109.420744,2.1844978
00:04:32,28.375,-109.40901,2.1843366
00:04:34,28.375,-109.42073,2.1844976
00:04:35,28.375,-109.38556,2.1840144
00:04:37,28.375,-109.38556,2.1840144
00:04:39,28.4375,-109.409,2.1843364
00:04:40,28.4375,-109.39729,2.1841756
00:04:42,28.375,-109.35037,2.1835308
00:04:43,28.4375,-109.35039,2.183531
00:04:45,28.4375,-109.34451,2.1834504
00:04:46,28.4375,-109.367968,2.1837726
00:04:47,28.4375,-109.30931,2.1829668
00:04:49,28.4375,-109.33278,2.183289
00:04:50,28.4375,-109.30931,2.1829668
00:04:52,28.375,-109.33278,2.183289
00:04:53,28.4375,-109.30347,2.1828864
00:04:55,28.375,-109.326904,2.1832084
00:04:57,28.4375,-109.28003,2.1825642
00:04:58,28.4375,-109.25069,2.182161
00:05:00,28.4375,-109.26828,2.1824028
00:05:01,28.4375,-109.25656,2.182242
00:05:03,28.4375,-109.26239,2.182322
00:05:05,28.375,-109.25069,2.182161
00:05:06,28.4375,-109.268296,2.182403
00:05:07,28.4375,-109.24483,2.1820808
00:05:09,28.375,-109.268296,2.182403
00:05:11,28.375,-109.16861,2.1810334
00:05:12,28.4375,-109.221376,2.1817584
00:05:14,28.375,-109.20378,2.1815166
00:05:15,28.4375,-109.20378,2.1815166
00:05:17,28.375,-109.19791,2.181436
00:05:18,28.4375,-109.20378,2.1815166
00:05:20,28.4375,-109.20378,2.1815166
00:05:21,28.375,-109.18619,2.181275
00:05:23,28.4375,-109.19791,2.181436
00:05:24,28.4375,-109.18033,2.1811946
00:05:26,28.4375,-109.12755,2.1804692
00:05:27,28.4375,-109.18031,2.1811944
00:05:30,28.4375,-109.13927,2.1806302
00:05:31,28.4375,-109.15102,2.1807916
00:05:33,28.4375,-109.156872,2.1808722
00:05:34,28.4375,-109.14514,2.180711
00:05:36,28.4375,-109.08064,2.1798248
00:05:37,28.4375,-109.10997,2.1802278
00:05:39,28.4375,-109.150984,2.1807914
00:05:40,28.4375,-109.08652,2.1799054
00:05:43,28.4375,-109.09239,2.1799862
00:05:45,28.4375,-109.115816,2.180308
00:05:47,28.4375,-109.104092,2.180147
00:05:49,28.4375,-109.07478,2.1797442
00:05:50,28.4375,-109.08064,2.1798248
00:05:52,28.4375,-108.99855,2.1786968
00:05:54,28.4375,-109.051316,2.179422
00:05:55,28.4375,-109.0103,2.1788582
00:05:56,28.375,-108.99855,2.1786968
00:05:58,28.4375,-109.01614,2.1789386
00:05:59,28.375,-109.01613,2.1789384
00:06:01,28.4375,-109.01027,2.1788578
00:06:02,28.4375,-108.998568,2.178697
00:06:04,28.4375,-108.99269,2.1786164
00:06:05,28.4375,-108.98685,2.178536
00:06:07,28.4375,-108.998568,2.178697
00:06:08,28.4375,-108.951652,2.1780524
00:06:10,28.4375,-108.904752,2.177408
00:06:11,28.4375,-108.95752,2.178133
00:06:13,28.4375,-108.93404,2.1778104
00:06:14,28.4375,-108.92235,2.1776498
00:06:16,28.4375,-108.98097,2.1784554
00:06:17,28.4375,-108.92819,2.17773
00:06:19,28.4375,-108.939928,2.1778912
00:06:20,28.4375,-108.857832,2.1767632
00:06:22,28.4375,-108.904716,2.1774078
00:06:23,28.4375,-108.88713,2.177166
00:06:25,28.4375,-108.88716,2.1771662
00:06:26,28.375,-108.86955,2.1769244
00:06:27,28.4375,-108.893008,2.1772466
00:06:29,28.375,-108.898868,2.1773272
00:06:30,28.4375,-108.81679,2.1761994
00:06:32,28.4375,-108.834368,2.176441
00:06:33,28.4375,-108.82266,2.17628
00:06:35,28.4375,-108.81679,2.1761994
00:06:36,28.4375,-108.81091,2.1761186
00:06:38,28.375,-108.7816,2.175716
00:06:39,28.4375,-108.81677,2.1761992
00:06:41,28.4375,-108.793336,2.175877
00:06:42,28.375,-108.77576,2.1756356
00:06:44,28.4375,-108.80505,2.1760382
00:06:45,28.375,-108.75815,2.1753936
00:06:47,28.4375,-108.8461,2.1766022
00:06:48,28.4375,-108.7816,2.175716
00:06:50,28.4375,-108.76401,2.1754742
00:06:51,28.4375,-108.746416,2.1752324
00:06:53,28.4375,-108.76987,2.1755548
00:06:54,28.4375,-108.722944,2.17491
00:06:56,28.375,-108.72296,2.1749104
00:06:57,28.4375,-108.69365,2.1745074
00:06:59,28.4375,-108.76401,2.1754742
00:07:00,28.375,-108.687776,2.1744268
00:07:02,28.4375,-108.693668,2.1745076
00:07:03,28.4375,-108.687776,2.1744268
00:07:05,28.375,-108.681912,2.1743462
00:07:06,28.375,-108.6174,2.1734598
00:07:07,28.4375,-108.63501,2.1737018
00:07:09,28.4375,-108.59982,2.1732182
00:07:11,28.4375,-108.5529,2.1725736
00:07:12,28.4375,-108.54117,2.1724124
00:07:14,28.4375,-108.50015,2.1718488
00:07:15,28.5,-108.49426,2.171768
00:07:16,28.5,-108.418052,2.1707206
00:07:18,28.5,-108.44736,2.1711236
00:07:19,28.5,-108.39459,2.1703984
00:07:21,28.5625,-108.44736,2.1711236
00:07:22,28.5625,-108.34769,2.169754
00:07:24,28.5625,-108.33598,2.169593
00:07:25,28.5625,-108.28317,2.1688676
00:07:27,28.5625,-108.253868,2.168465
00:07:28,28.625,-108.212852,2.1679012
00:07:30,28.5625,-108.1835,2.167498
00:07:31,28.625,-108.12488,2.1666924
00:07:33,28.625,-108.107288,2.1664508
00:07:35,28.625,-108.00174,2.1650006
00:07:37,28.6875,-107.8786,2.1633086
00:07:38,28.6875,-107.69095,2.1607304
00:07:40,28.6875,-107.53265,2.1585552
00:07:41,28.75,-107.40364,2.1567826
